Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Direct Mix XGBoost,Train,mix,mix,0.7073399173873858,0.44348427611255903,0.21466397997873457
Direct Mix XGBoost,Test,mix,dft,0.6100471390343329,0.5346126908022408,0.38701238217318906
Direct Mix XGBoost,Test,mix,exp,-0.01312606602134525,0.7546391257286028,0.6317997265515931
Direct Mix XGBoost,Test,mix,mix,0.32177727838906345,0.6534826047529112,0.5128595232751921
