Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Stacking XGBoost,Train,meta,meta,0.989639999994804,0.0817444385077071,0.0465425186351615
Stacking XGBoost,Test,meta,dft,0.18082736623358842,0.7747038124592699,0.6205480868021331
Stacking XGBoost,Test,meta,exp,0.6985363152190236,0.4351826412416968,0.3120925016077156
Stacking XGBoost,Test,meta,mix,0.454646042611073,0.6148781226686828,0.4552060587136563
