Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Self Learning XGBoost,Train,mix,mix,0.9813252441037617,0.10351348408088097,0.07713924684583595
Self Learning XGBoost,Test,mix,dft,0.32537221379778725,0.7031780746660321,0.5024122751451645
Self Learning XGBoost,Test,mix,exp,0.5954137324231059,0.47688442940621145,0.34771989182038093
Self Learning XGBoost,Test,mix,mix,0.4035251754378272,0.612835511204996,0.4267378674974371
