Feature,Importance
avg_dev GSenergy_pa,508
avg_dev Density,433
avg_dev GSestBCClatcnt,425
mean MeltingT,407
avg_dev ThermalConductivity,401
mean ZungerPP-r_sigma,399
mean Density,395
avg_dev AtomicWeight,379
avg_dev LogThermalConductivity,373
avg_dev FusionEnthalpy,369
