Feature,Importance
mean Density,0.07170011788074396
avg_dev Electronegativity,0.0658547102279868
mean AtomicWeight,0.057361541252019546
mode LogThermalConductivity,0.03938560136931817
avg_dev LogThermalConductivity,0.03212142015521703
range ElectronAffinity,0.03151672850173894
range LogThermalConductivity,0.0307424187473211
minimum LogThermalConductivity,0.02837945378931295
avg_dev ElectronAffinity,0.026728567590093316
mean NdValence,0.022667967272161235
