Feature,Importance
mean Density,0.15366553
maximum Electronegativity,0.08391886
avg_dev NpValence,0.08282762
range ElectronAffinity,0.061622333
mode ThermalConductivity,0.054862108
minimum LogThermalConductivity,0.0475042
avg_dev ElectronAffinity,0.04237307
avg_dev Electronegativity,0.03493394
mode LogThermalConductivity,0.03344177
minimum GSenergy_pa,0.01664691
