Model,Error_Type,n_estimators,learning_rate,max_depth,colsample_bytree,R²,RMSE,MAE
XGBoost,Validation,300,0.2,7,0.7,0.6209878705094429,0.5356344817779582,0.3850653627383712
XGBoost,Validation,300,0.1,6,1.0,0.6203697931820307,0.5360710491619232,0.3892932808806182
XGBoost,Validation,100,0.05,20,0.7,0.6199294700566236,0.5363818464454155,0.3892248802753951
XGBoost,Validation,300,0.2,7,0.5,0.6196449429172339,0.5365825810834429,0.38848806238968164
XGBoost,Validation,300,0.1,7,0.7,0.6191945488596402,0.5369001818354828,0.38855399008224834
XGBoost,Validation,300,0.2,10,0.7,0.6187339254351227,0.5372248017410926,0.386036740031468
XGBoost,Validation,100,0.05,15,0.8,0.6184579026074003,0.5374192322058278,0.38961731494375595
XGBoost,Validation,300,0.05,7,0.5,0.6184370964948133,0.5374338851795029,0.3966146433779465
XGBoost,Validation,300,0.2,5,0.7,0.6179933996215893,0.5377462693898325,0.39246894431327906
XGBoost,Validation,100,0.2,10,0.7,0.6172088747971912,0.5382981694336283,0.3875145850857463
XGBoost,Validation,300,0.05,7,1.0,0.6169790500398502,0.5384597401628488,0.39654420448447714
XGBoost,Validation,300,0.01,20,0.7,0.6167384452518099,0.538628837508623,0.3986562983713554
XGBoost,Validation,100,0.2,20,0.5,0.6156881134010463,0.5393663912023287,0.39351951005348335
XGBoost,Validation,300,0.2,20,0.5,0.6156881131370944,0.5393663913875517,0.3935195073667162
XGBoost,Validation,300,0.2,5,1.0,0.6153689570831943,0.5395903062994766,0.3922629311294499
XGBoost,Validation,300,0.2,7,0.8,0.6146426942519909,0.5400994950084236,0.3861392661147909
XGBoost,Validation,300,0.01,15,0.8,0.614378875356068,0.5402843417357057,0.3980163635878333
XGBoost,Validation,100,0.05,10,0.8,0.6135384406869302,0.5408727775430806,0.39679858632164605
XGBoost,Validation,100,0.05,20,0.8,0.6134619228585778,0.5409263202059568,0.39142332079319986
XGBoost,Validation,300,0.2,5,0.5,0.6129856627490811,0.541259459859691,0.39877305029040355
XGBoost,Validation,300,0.2,6,1.0,0.6125035097032508,0.541596512833932,0.38959482543676494
XGBoost,Validation,100,0.05,10,1.0,0.6104088453030134,0.5430583763216055,0.39946423588226576
XGBoost,Validation,100,0.2,7,0.7,0.6097531845618878,0.5435151530872693,0.3963198184252542
XGBoost,Validation,300,0.3,7,0.7,0.608931713471625,0.5440869031350771,0.39264322003427726
XGBoost,Validation,100,0.2,7,0.5,0.6086346139917389,0.5442935387172344,0.399751176162185
XGBoost,Validation,300,0.2,5,0.8,0.608502978090479,0.5443850676941663,0.39498005249622364
XGBoost,Validation,300,0.3,6,0.5,0.6081970438620765,0.5445977302334679,0.39537795238187917
XGBoost,Validation,300,0.3,6,0.7,0.607093471621462,0.5453641618275118,0.39314675634548985
XGBoost,Validation,300,0.1,15,0.8,0.6070923824760432,0.5453649177076307,0.39377822399295087
XGBoost,Validation,100,0.2,6,0.8,0.6069177350527583,0.5454861115856018,0.40472081044986447
XGBoost,Validation,300,0.1,5,0.7,0.6067227502283605,0.545621386484168,0.40326125488098613
