Model,Error_Type,alpha,R²,RMSE,MAE
Ridge,Train,8.09,0.3277863146767417,0.704253073844016,0.5720773821597401
Ridge,Validation,8.09,0.3235322651615852,0.7155920652486967,0.5866406572505939
Ridge,Train,9.88,0.32770869477959386,0.7042937323983124,0.5721760154283988
Ridge,Validation,9.88,0.3234649415546059,0.7156276730374237,0.5866962438224135
Ridge,Train,2.44,0.3279698038486445,0.7041569499212199,0.5717583758010314
Ridge,Validation,2.44,0.3236644243967314,0.7155221604220071,0.586481994829325
Ridge,Train,6.03,0.3278665292904156,0.7042110536688494,0.5719626392668121
Ridge,Validation,6.03,0.32359753202923924,0.7155575435880178,0.5865766289420403
Ridge,Train,3.32,0.327950150420637,0.7041672463311293,0.5718088395227158
Ridge,Validation,3.32,0.32365514353451696,0.7155270697008035,0.5865010244334433
Ridge,Train,0.17,0.3279957569612313,0.7041433528826128,0.5716346257417004
Ridge,Validation,0.17,0.3236579596223774,0.7155255800840992,0.5864398076678505
Ridge,Train,9.77,0.3277136352201865,0.7042911445857749,0.5721700673078586
Ridge,Validation,9.77,0.3234693133607359,0.7156253608213287,0.5866928569331166
Ridge,Train,2.7199999999999998,0.3279640372184447,0.7041599710682198,0.5717745741390374
Ridge,Validation,2.7199999999999998,0.3236620755284281,0.7155234029012766,0.5864879160363513
Ridge,Train,0.54,0.3279944528979797,0.7041440360978115,0.5716539728812408
Ridge,Validation,0.54,0.3236625766972415,0.715523137798531,0.5864454930162212
Ridge,Train,1.3,0.32798792116594044,0.7041474581447014,0.5716946355311329
Ridge,Validation,1.3,0.3236673838658165,0.7155205949505855,0.5864588689849822
Ridge,Train,7.6,0.32780639581096227,0.7042425546397589,0.5720505560545319
Ridge,Validation,7.6,0.32354911356605376,0.7155831537670386,0.5866250851939433
Ridge,Train,4.32,0.32792288884370724,0.7041815283928659,0.57186556508893
Ridge,Validation,4.32,0.32363844268251285,0.7155359038316567,0.5865279026431247
Ridge,Train,5.39,0.32788888816564643,0.7041993405949453,0.5719267970835814
