Feature,Importance
mode LogThermalConductivity,0.27585417
mode ThermalConductivity,0.13623258
minimum ThermalConductivity,0.118514694
maximum Electronegativity,0.109836645
mode HeatVaporization,0.056305036
maximum NfUnfilled,0.0242184
maximum NUnfilled,0.012829703
mean Density,0.012595444
minimum AtomicVolume,0.011308766
maximum Density,0.010651054
