Feature,Importance
mean Density,0.03154483203031193
minimum LogThermalConductivity,0.030930666201782957
mode ThermalConductivity,0.030882620732438186
minimum ThermalConductivity,0.027513795438404202
mean BoilingT,0.025517543936353353
mode LogThermalConductivity,0.02502766197427104
mode HeatVaporization,0.024716276428849836
mean MeltingT,0.021680704647263602
range ThermalConductivity,0.02099190531337384
maximum Electronegativity,0.020073167817456262
