Feature,Importance
mode ThermalConductivity,0.26887897
minimum ThermalConductivity,0.13888164
mode HeatVaporization,0.1293415
maximum Electronegativity,0.047157057
maximum NfUnfilled,0.02466154
efermi,0.018500125
minimum MolarVolume,0.018362153
range ThermalConductivity,0.015443452
maximum NUnfilled,0.013698764
mean NpUnfilled,0.012878395
