Feature,Importance
efermi,597
volume,434
formation_energy_per_atom,434
space_group,373
density_atomic,334
density,333
avg_dev GSenergy_pa,316
energy_per_atom,304
avg_dev GSestBCClatcnt,296
avg_dev NValence,295
